Country,Region/Continent,HDI,Population (Thousands),Tourism (Millions),Tourism Per Capita,CO2 Per Capita,PM2.5 Concentration,Waste (Tons),Waste Per Capita,C02 Per Capita Z Score,PM2.5 Concentration Z Score,Waste Per Capita Z Score,Composite Environmental Z Score,Tourism Outlier,Plastic Waste % of total,Plastic Waste Per Capita,Plastic Waste Per Capita Z Score
Peru,South America,0.794,"34,217.85",3.3,0.096440893,1.65,17.1,8356711.13,0.244220813,-0.738889292,0.125710786,-0.876176251,-0.496451586,yes,10.52,0.025692029,-0.724909676
Kenya,Africa,0.628,"56,432.94",2,0.035440294,0.39,14.3,5595099,0.099145978,-0.915081667,-0.125710786,-1.723191679,-0.921328044,No,18.7,0.018540298,-0.990416962
Brazil,South America,0.786,"211,998.57",6.8,0.032075688,2.3,14.9,79069584,0.372972252,-0.6479964,-0.071834735,-0.12446452,-0.281431885,No,13.5,0.050351254,0.190561438
China,Asia,0.797,"1,408,975.00",32,0.022711546,8.37,31,395081376,0.280403397,0.200803373,1.373839306,-0.664925229,0.30323915,No,9.8,0.027479533,-0.6585488
India,Asia,0.685,"1,450,935.79",20.6,0.014197734,2.13,50.6,189750000,0.130777669,-0.671768388,3.133790313,-1.538510921,0.307837001,No,N/A,N/A,N/A
Nigeria,Africa,0.56,"232,679.48",0.53,0.002277812,0.56,40.1,27614830.07,0.118681845,-0.89130968,2.190959416,-1.609132052,-0.103160772,No,4.8,0.005696729,-1.467233117
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
